# Fig. 2D - total phosphorylation (Eq. 2) vs log10([E]/[F]), N = 1..20 sites
# diffusion-limited regime, with enzyme refractory state
# Dushek O, van der Merwe PA, Shahrezaei V (2011) Biophysical Journal 100:1189-1197. doi:10.1016/j.bpj.2011.01.060
# Digitized by digitize_dushek2011.py from the vector paths of page 4.
# Series identity is drawing order, cross-checked against the MATLAB colour cycle and against curve nesting; the axes calibration is validated on the exact 0.5 crossing at log10([E]/[F]) = 0.
n_sites,log10_E_over_F,total_phosphorylation
9,0.568831,0.900983
9,0.636577,0.909515
9,0.704322,0.915415
9,0.772067,0.920649
9,0.839764,0.924586
9,0.975255,0.931145
9,1.11072,0.935082
9,1.17847,0.936379
9,1.24445,0.938361
9,1.31219,0.939019
9,1.37994,0.940316
9,1.44768,0.940992
9,1.5154,0.94164
9,1.58315,0.942956
9,1.71864,0.944262
9,1.78636,0.944262
9,1.9896,0.946226
10,-2,0.0491796
10,-1.93402,0.0491796
10,-1.32439,0.0550804
10,-1.12117,0.0590175
10,-0.985683,0.0629451
10,-0.91968,0.0655759
10,-0.851934,0.0681976
10,-0.784189,0.0721345
10,-0.716443,0.0767198
10,-0.648723,0.0826116
10,-0.580953,0.089837
10,-0.513232,0.0990171
10,-0.44551,0.112125
10,-0.377765,0.129827
10,-0.310019,0.154755
10,-0.242274,0.192133
10,-0.174553,0.248539
10,-0.106808,0.330493
10,-0.0390621,0.440014
10,0.028683,0.560662
10,0.0964042,0.670165
10,0.162408,0.752138
10,0.230177,0.808524
10,0.297874,0.845902
10,0.365644,0.870821
10,0.433365,0.888524
10,0.50111,0.90165
10,0.568831,0.910821
10,0.636577,0.918037
10,0.704322,0.923928
10,0.772067,0.928514
10,0.839764,0.932451
10,0.975255,0.937703
10,1.11072,0.941631
10,1.17847,0.942956
10,1.24445,0.944262
10,1.31219,0.945568
10,1.92185,0.951478
10,1.9896,0.951478
11,-2,0.0445852
11,-1.93402,0.0452431
11,-1.86628,0.0452431
11,-1.79853,0.0459099
11,-1.66309,0.0472067
11,-1.59534,0.0472067
11,-1.39213,0.0491799
11,-1.32439,0.0504953
11,-1.25664,0.0511438
11,-1.05343,0.0550807
11,-0.985683,0.0570446
11,-0.91968,0.0596754
11,-0.851934,0.0622968
11,-0.784189,0.0655761
11,-0.716443,0.069504
11,-0.648723,0.0747472
11,-0.580953,0.0819633
11,-0.513232,0.0904856
11,-0.44551,0.102287
11,-0.377765,0.118035
11,-0.310019,0.141638
11,-0.242274,0.177044
11,-0.174553,0.232133
11,-0.106808,0.316727
11,-0.0390621,0.434105
11,0.028683,0.566563
11,0.0964042,0.68394
11,0.162408,0.768525
11,0.230177,0.823615
11,0.297874,0.85902
11,0.365644,0.882623
11,0.433365,0.898352
11,0.50111,0.910154
11,0.568831,0.918686
11,0.636577,0.925902
11,0.704322,0.931145
11,0.772067,0.935082
11,0.839764,0.938352
11,0.975255,0.943614
11,1.043,0.945568
11,1.17847,0.948199
11,1.24445,0.949496
11,1.31219,0.950154
11,1.37994,0.951478
11,1.58315,0.953433
11,1.65089,0.953433
11,1.85411,0.955406
11,1.92185,0.955406
11,1.9896,0.956064
12,-2,0.0406574
12,-1.86628,0.0419728
12,-1.79853,0.0419728
12,-1.66309,0.0432698
12,-1.59534,0.0432698
12,-1.5276,0.0439367
12,-1.39213,0.0452428
12,-1.32439,0.0459097
12,-1.25664,0.0472067
12,-1.18889,0.0478645
12,-1.05343,0.0504953
12,-0.985683,0.0524589
12,-0.91968,0.0544228
12,-0.851934,0.0570446
12,-0.784189,0.0603236
12,-0.716443,0.0642608
12,-0.648723,0.0688461
12,-0.580953,0.0747469
12,-0.513232,0.0832787
12,-0.44551,0.0937742
12,-0.377765,0.108846
12,-0.310019,0.130485
12,-0.242274,0.163936
12,-0.174553,0.217052
12,-0.106808,0.302962
12,-0.0390621,0.428204
12,0.028683,0.572454
12,0.0964042,0.697715
12,0.162408,0.783615
12,0.230177,0.836732
12,0.297874,0.870173
12,0.365644,0.891812
12,0.433365,0.906875
12,0.50111,0.917389
12,0.568831,0.925911
12,0.636577,0.931793
12,0.704322,0.936379
12,0.772067,0.940316
12,0.839764,0.943614
12,0.90751,0.946226
12,1.043,0.950153
12,1.17847,0.952784
12,1.24445,0.953433
12,1.31219,0.954748
12,1.58315,0.95737
12,1.65089,0.95737
12,1.71864,0.958018
12,1.78636,0.958694
12,1.85411,0.958694
12,1.9896,0.959991
13,-2,0.0373781
13,-1.93402,0.0380359
13,-1.86628,0.0386842
13,-1.79853,0.0386842
13,-1.66309,0.0399996
13,-1.59534,0.0399996
13,-1.45985,0.0413059
13,-1.39213,0.0419728
13,-1.25664,0.0432695
13,-1.18889,0.0445852
13,-1.12117,0.0452428
13,-1.05343,0.0465582
13,-0.985683,0.0485221
13,-0.91968,0.050495
13,-0.851934,0.0524589
13,-0.716443,0.0590175
13,-0.648723,0.0636122
13,-0.580953,0.0695037
13,-0.513232,0.0767201
13,-0.44551,0.0865487
13,-0.377765,0.100323
13,-0.310019,0.120657
13,-0.242274,0.152125
13,-0.174553,0.203287
13,-0.106808,0.289854
13,-0.0390621,0.422294
13,0.028683,0.578364
13,0.0964042,0.710832
13,0.162408,0.79739
13,0.230177,0.848533
13,0.297874,0.88001
13,0.365644,0.900325
13,0.433365,0.9141
13,0.50111,0.923929
13,0.568831,0.931145
13,0.636577,0.937046
13,0.704322,0.941631
13,0.839764,0.94819
13,1.043,0.95409
13,1.11072,0.955406
13,1.17847,0.956064
13,1.24445,0.95737
13,1.31219,0.958018
13,1.44768,0.959343
13,1.5154,0.959991
13,1.58315,0.960658
13,1.65089,0.960658
13,1.78636,0.961955
13,1.85411,0.961955
13,1.92185,0.962622
13,1.9896,0.96327
14,-2,0.0347473
14,-1.93402,0.0354052
14,-1.86628,0.0360627
14,-1.79853,0.0360627
14,-1.73081,0.0367206
14,-1.66309,0.0367206
14,-1.45985,0.0386842
14,-1.39213,0.0386842
14,-1.32439,0.039342
14,-1.25664,0.0406574
14,-1.18889,0.0413059
14,-1.12117,0.0426213
14,-1.05343,0.0432698
14,-0.985683,0.0452428
14,-0.91968,0.0465582
14,-0.784189,0.0518014
14,-0.716443,0.0550807
14,-0.648723,0.0590175
14,-0.580953,0.0642608
14,-0.513232,0.0714769
14,-0.44551,0.080657
14,-0.377765,0.0937742
14,-0.310019,0.112125
14,-0.242274,0.141638
14,-0.174553,0.191476
14,-0.106808,0.278043
14,-0.0390621,0.416402
14,0.028683,0.584265
14,0.0964042,0.722624
14,0.162408,0.809191
14,0.230177,0.85902
14,0.297874,0.888524
14,0.365644,0.906875
14,0.433365,0.919992
14,0.50111,0.929172
14,0.568831,0.936379
14,0.636577,0.941631
14,0.704322,0.945568
14,0.772067,0.948847
14,0.90751,0.95409
14,0.975255,0.955406
14,1.043,0.95737
14,1.11072,0.958018
14,1.17847,0.959343
14,1.24445,0.959991
14,1.31219,0.961307
14,1.37994,0.961955
14,1.44768,0.961955
14,1.5154,0.962622
14,1.65089,0.963928
14,1.71864,0.963928
14,1.78636,0.964586
14,1.85411,0.964586
14,1.9896,0.965892
15,-2,0.0327927
15,-1.93402,0.0327927
15,-1.79853,0.0340988
15,-1.73081,0.0340988
15,-1.66309,0.0347473
15,-1.59534,0.0347473
15,-1.45985,0.0360627
15,-1.39213,0.0360627
15,-1.32439,0.0367206
15,-1.25664,0.0380359
15,-1.12117,0.039342
15,-0.985683,0.0419728
15,-0.91968,0.0439367
15,-0.851934,0.0459097
15,-0.716443,0.0511435
15,-0.648723,0.0550807
15,-0.580953,0.0603236
15,-0.513232,0.0668822
15,-0.44551,0.0754141
