# Fig. 2C - total phosphorylation (Eq. 2) vs log10([E]/[F]), N = 1..20 sites
# reaction-limited regime, with enzyme refractory state
# Dushek O, van der Merwe PA, Shahrezaei V (2011) Biophysical Journal 100:1189-1197. doi:10.1016/j.bpj.2011.01.060
# Digitized by digitize_dushek2011.py from the vector paths of page 4.
# Series identity is drawing order, cross-checked against the MATLAB colour cycle and against curve nesting; the axes calibration is validated on the exact 0.5 crossing at log10([E]/[F]) = 0.
n_sites,log10_E_over_F,total_phosphorylation
12,-0.784171,0.165909
12,-0.716451,0.183611
12,-0.648706,0.203935
12,-0.580961,0.226223
12,-0.513216,0.25116
12,-0.445495,0.278691
12,-0.37775,0.308205
12,-0.310005,0.339673
12,-0.24226,0.373123
12,-0.17454,0.408528
12,-0.106795,0.4446
12,-0.0390744,0.481969
12,0.0286711,0.518699
12,0.0964158,0.556076
12,0.162419,0.59213
12,0.230164,0.627544
12,0.297909,0.660985
12,0.36563,0.692453
12,0.433374,0.721967
12,0.501095,0.749516
12,0.56884,0.774426
12,0.636585,0.796723
12,0.70433,0.817056
12,0.772075,0.834759
12,0.83982,0.851136
12,0.907541,0.865569
12,0.975286,0.878047
12,1.04303,0.888524
12,1.11078,0.898352
12,1.1785,0.906235
12,1.24447,0.9141
12,1.31222,0.919992
12,1.44769,0.930487
12,1.51541,0.934424
12,1.6509,0.940983
12,1.71862,0.943604
12,1.85411,0.947541
12,1.92183,0.948847
12,1.98957,0.95082
13,-2,0.0472067
13,-1.93397,0.0485221
13,-1.86625,0.0498375
13,-1.79851,0.0518014
13,-1.5953,0.0596754
13,-1.52755,0.0629454
13,-1.45981,0.0675494
13,-1.39209,0.0721348
13,-1.32434,0.0773777
13,-1.2566,0.0839363
13,-1.18888,0.0911434
13,-1.12113,0.0990171
13,-1.05339,0.108846
13,-0.98564,0.119999
13,-0.919662,0.132458
13,-0.851917,0.146233
13,-0.784171,0.16262
13,-0.716451,0.18098
13,-0.648706,0.201314
13,-0.580961,0.223601
13,-0.513216,0.248539
13,-0.445495,0.27607
13,-0.37775,0.306232
13,-0.310005,0.337718
13,-0.24226,0.371808
13,-0.17454,0.407213
13,-0.106795,0.443933
13,-0.0390744,0.48132
13,0.0286711,0.519347
13,0.0964158,0.556725
13,0.162419,0.593445
13,0.230164,0.62886
13,0.297909,0.662958
