# Fig. 2A - total phosphorylation (Eq. 2) vs log10([E]/[F]), N = 1..20 sites
# reaction-limited regime, without enzyme refractory state
# Dushek O, van der Merwe PA, Shahrezaei V (2011) Biophysical Journal 100:1189-1197. doi:10.1016/j.bpj.2011.01.060
# Digitized by digitize_dushek2011.py from the vector paths of page 4.
# Series identity is drawing order, cross-checked against the MATLAB colour cycle and against curve nesting; the axes calibration is validated on the exact 0.5 crossing at log10([E]/[F]) = 0.
n_sites,log10_E_over_F,total_phosphorylation
14,-0.851917,0.156728
14,-0.784171,0.173115
14,-0.716451,0.191485
14,-0.648706,0.211809
14,-0.580961,0.234097
14,-0.513216,0.259025
14,-0.445495,0.285907
14,-0.37775,0.314754
14,-0.310005,0.345573
14,-0.24226,0.377708
14,-0.17454,0.411816
14,-0.106795,0.446554
14,-0.0390744,0.482626
14,0.0286711,0.51804
14,0.0964158,0.554103
14,0.162419,0.588859
14,0.230164,0.622949
14,0.297909,0.655084
14,0.36563,0.685903
14,0.433374,0.714759
14,0.501095,0.741642
14,0.56884,0.76656
14,0.636585,0.788858
14,0.70433,0.809182
14,0.772075,0.827542
14,0.83982,0.843938
14,0.907541,0.859019
14,0.975286,0.871478
14,1.04303,0.88328
14,1.11078,0.893118
14,1.1785,0.90164
14,1.24447,0.909514
14,1.31222,0.916064
14,1.37994,0.921974
14,1.51541,0.931154
14,1.6509,0.937703
14,1.78636,0.942955
14,1.92183,0.946883
14,1.98957,0.948198
15,-2,0.0498465
15,-1.93397,0.0518104
15,-1.86625,0.0531165
15,-1.79851,0.0550804
15,-1.66302,0.0603328
15,-1.5953,0.063612
15,-1.45981,0.0714768
15,-1.39209,0.0767198
15,-1.32434,0.0826299
15,-1.2566,0.0891884
15,-1.18888,0.0970531
15,-1.12113,0.105576
15,-1.05339,0.115413
15,-0.98564,0.127215
15,-0.919662,0.139674
15,-0.851917,0.154755
15,-0.784171,0.171152
15,-0.716451,0.189512
15,-0.648706,0.209836
15,-0.580961,0.232791
15,-0.513216,0.2577
15,-0.445495,0.284592
15,-0.37775,0.313448
15,-0.310005,0.344925
15,-0.24226,0.37706
15,-0.17454,0.411149
15,-0.106795,0.446554
15,-0.0390744,0.482626
15,0.0286711,0.51804
15,0.0964158,0.554103
15,0.162419,0.589517
15,0.230164,0.623607
15,0.297909,0.655742
15,0.36563,0.687219
15,0.433374,0.716066
15,0.501095,0.742948
15,0.56884,0.767876
15,0.636585,0.790822
15,0.70433,0.811155
15,0.772075,0.829515
15,0.83982,0.845902
15,0.907541,0.860983
15,0.975286,0.873442
15,1.04303,0.885244
15,1.11078,0.895082
15,1.1785,0.903604
15,1.24447,0.911478
15,1.31222,0.918037
15,1.37994,0.923938
15,1.44769,0.929181
15,1.58315,0.937055
15,1.6509,0.940325
15,1.78636,0.945577
15,1.85411,0.947541
15,1.92183,0.948856
15,1.98957,0.95082
16,-2,0.0478733
16,-1.93397,0.0498464
16,-1.86625,0.0511526
16,-1.79851,0.0531164
16,-1.73076,0.0557473
16,-1.66302,0.0583596
16,-1.5953,0.0616481
16,-1.45981,0.0695127
16,-1.39209,0.0747558
16,-1.32434,0.0806567
16,-1.2566,0.0872152
16,-1.18888,0.0950892
16,-1.12113,0.103612
16,-1.05339,0.114098
16,-0.98564,0.125251
16,-0.919662,0.138368
16,-0.851917,0.152791
16,-0.784171,0.169845
16,-0.716451,0.188206
16,-0.648706,0.20852
16,-0.580961,0.231475
16,-0.513216,0.256394
16,-0.445495,0.283276
16,-0.37775,0.31279
16,-0.310005,0.343609
16,-0.24226,0.37706
16,-0.17454,0.411149
16,-0.106795,0.446554
16,-0.0390744,0.481968
16,0.0286711,0.518698
16,0.0964158,0.554103
16,0.162419,0.589517
16,0.230164,0.623607
16,0.297909,0.657048
16,0.36563,0.687867
16,0.433374,0.717381
16,0.501095,0.744273
16,0.56884,0.769182
16,0.636585,0.792128
16,0.70433,0.812461
16,0.772075,0.830821
16,0.83982,0.847866
16,0.907541,0.862298
16,0.975286,0.875415
16,1.04303,0.886559
16,1.11078,0.897046
16,1.1785,0.905577
16,1.24447,0.913442
16,1.31222,0.920001
16,1.37994,0.925901
16,1.44769,0.931154
16,1.58315,0.939018
16,1.6509,0.942298
16,1.78636,0.947541
16,1.85411,0.949505
16,1.92183,0.95082
16,1.98957,0.952793
17,-2,0.0459097
17,-1.93397,0.0478736
17,-1.73076,0.0537743
17,-1.52755,0.0636121
17,-1.45981,0.0681976
17,-1.32434,0.0786931
17,-1.18888,0.0931162
17,-1.12113,0.102296
17,-1.05339,0.112134
17,-0.98564,0.123936
17,-0.919662,0.137053
17,-0.851917,0.151476
17,-0.784171,0.16853
17,-0.716451,0.186881
17,-0.648706,0.207872
17,-0.580961,0.23016
17,-0.513216,0.255736
17,-0.445495,0.282628
17,-0.37775,0.312132
17,-0.310005,0.342961
17,-0.24226,0.376402
17,-0.17454,0.410492
17,-0.106795,0.445906
17,-0.0390744,0.481969
17,0.0286711,0.518698
17,0.0964158,0.554761
17,0.162419,0.590166
17,0.230164,0.624265
17,0.297909,0.657706
17,0.36563,0.688525
17,0.433374,0.718029
17,0.501095,0.744921
17,0.56884,0.770489
17,0.636585,0.792786
17,0.70433,0.813767
17,0.772075,0.832137
17,0.83982,0.849182
17,0.907541,0.863605
17,0.975286,0.876722
17,1.04303,0.888524
17,1.11078,0.898361
17,1.1785,0.907541
17,1.24447,0.914758
17,1.31222,0.921965
17,1.44769,0.93246
17,1.51541,0.937055
17,1.71862,0.946883
17,1.98957,0.954757
18,-2,0.044594
18,-1.93397,0.0459094
18,-1.79851,0.0498464
18,-1.66302,0.0550803
18,-1.5953,0.0583594
18,-1.52755,0.0622964
18,-1.39209,0.0714765
18,-1.32434,0.0773866
18,-1.2566,0.0839359
18,-1.18888,0.0918099
18,-1.12113,0.10099
18,-1.05339,0.110828
18,-0.98564,0.122629
18,-0.919662,0.135737
18,-0.851917,0.15017
18,-0.784171,0.167214
18,-0.716451,0.185575
18,-0.648706,0.206556
18,-0.580961,0.229511
18,-0.513216,0.25443
18,-0.445495,0.28197
18,-0.37775,0.311474
18,-0.310005,0.342961
18,-0.24226,0.375735
18,-0.17454,0.410491
18,-0.106795,0.445906
18,-0.0390744,0.481968
18,0.0286711,0.518698
18,0.0964158,0.554761
18,0.162419,0.590166
18,0.230164,0.624922
18,0.297909,0.657706
18,0.36563,0.689183
18,0.433374,0.718696
18,0.501095,0.746236
18,0.56884,0.771146
18,0.636585,0.794101
18,0.70433,0.815083
18,0.772075,0.833443
18,0.83982,0.850497
18,0.907541,0.86492
18,0.975286,0.878037
18,1.04303,0.889839
18,1.11078,0.899676
18,1.1785,0.908847
18,1.24447,0.916721
18,1.31222,0.92328
18,1.37994,0.929181
18,1.51541,0.938361
18,1.58315,0.942298
18,1.6509,0.945577
18,1.78636,0.95082
18,1.92183,0.954757
18,1.98957,0.956063
19,-2,0.0432789
19,-1.93397,0.0445943
19,-1.79851,0.0485313
19,-1.66302,0.0537743
19,-1.5953,0.0570536
19,-1.45981,0.0649183
19,-1.39209,0.0701707
19,-1.32434,0.0760715
19,-1.2566,0.0826301
19,-1.18888,0.0904947
19,-1.12113,0.0996748
19,-1.05339,0.109513
19,-0.98564,0.121314
19,-0.919662,0.134431
19,-0.851917,0.148855
19,-0.784171,0.165909
19,-0.716451,0.184917
19,-0.648706,0.205251
19,-0.580961,0.228196
19,-0.513216,0.253772
19,-0.445495,0.281313
19,-0.37775,0.310817
19,-0.310005,0.342294
19,-0.24226,0.375087
19,-0.17454,0.409843
19,-0.0390744,0.481969
19,0.0286711,0.518698
19,0.0964158,0.554761
19,0.162419,0.590824
19,0.230164,0.62558
19,0.297909,0.658364
19,0.36563,0.689841
19,0.433374,0.719345
19,0.501095,0.746885
19,0.56884,0.772462
19,0.636585,0.795416
19,0.70433,0.815741
19,0.772075,0.834758
19,0.83982,0.851803
19,0.907541,0.866236
19,0.975286,0.879343
19,1.04303,0.891145
19,1.11078,0.900983
19,1.1785,0.910163
19,1.24447,0.918037
19,1.31222,0.924595
19,1.37994,0.930496
19,1.44769,0.935739
19,1.58315,0.943604
19,1.6509,0.946883
19,1.78636,0.952136
19,1.92183,0.956064
19,1.98957,0.957379
20,-2,0.0419728
20,-1.93397,0.043279
20,-1.79851,0.0472159
20,-1.73076,0.0498468
20,-1.66302,0.0524591
20,-1.5953,0.0557476
20,-1.52755,0.0596846
20,-1.39209,0.0688553
20,-1.32434,0.0747562
20,-1.2566,0.0813147
20,-1.18888,0.0891887
20,-1.12113,0.0983596
20,-1.05339,0.108197
20,-0.98564,0.119999
20,-0.919662,0.133116
20,-0.851917,0.148206
20,-0.784171,0.164593
20,-0.716451,0.183611
20,-0.648706,0.204593
20,-0.580961,0.227548
20,-0.513216,0.253115
20,-0.445495,0.280655
20,-0.37775,0.310169
20,-0.310005,0.341637
20,-0.24226,0.375087
20,-0.17454,0.409844
20,-0.106795,0.445248
20,0.0964158,0.555419
20,0.162419,0.590824
20,0.230164,0.62558
20,0.297909,0.659021
20,0.36563,0.690499
20,0.433374,0.720003
20,0.501095,0.747543
20,0.56884,0.773119
20,0.636585,0.796065
20,0.70433,0.817056
20,0.772075,0.836074
20,0.83982,0.852461
20,0.907541,0.867542
20,0.975286,0.880659
20,1.04303,0.892461
20,1.11078,0.902289
20,1.1785,0.911478
20,1.24447,0.919343
20,1.31222,0.925902
20,1.37994,0.931803
