# Source: Samoilov et al. (2005) PNAS 102:2310-2315, Fig. 3A -- one exact
# Gillespie trajectory of Expressions 7 and 8 (black = X, green = X*).
# Method: article PDF page 3 rendered at 600 dpi with pdftoppm and cropped to
# the Fig. 3A panel (-x 2820 -y 380 -W 1800 -H 1520). Trace ink = pixels with
# mean RGB < 165, split into the X band (1150 < value < 2050) and the X* band
# (-60 < value < 700); the two traces are separated by >1000 molecules so the
# split is unambiguous. Each image column spans 0.00746 time units; the column
# min/mean/max of the ink is reported as lo/mid/hi. 'mid' is the ink centroid
# and estimates the local time-average of the plotted trajectory; lo/hi give
# the local excursion envelope (line width inflates it by about +-8 molecules).
# Axis calibration from tick-mark centers (not the frame): rows
# 148.5/378.5/604.5/836.5/1061.5/1287.5 -> 2500/2000/1500/1000/500/0 molecules;
# columns 194.5..1534.5 -> t = 0..10. Max tick residual 6.7 molecules, 0.0000 time units.
# The t=0 initial-condition spike is excluded (t >= 0.05).
t,X_lo,X_mid,X_hi,Xstar_lo,Xstar_mid,Xstar_hi
2.279851,1542.905,1607.629,1672.354,246.225,315.337,384.450
2.287313,1534.129,1612.017,1689.906,237.449,310.949,384.450
2.294776,1534.129,1612.017,1689.906,237.449,310.949,384.450
2.302239,1534.129,1612.017,1689.906,237.449,310.949,384.450
2.309701,1534.129,1612.017,1689.906,237.449,310.949,384.450
2.317164,1613.114,1686.615,1760.115,176.015,253.904,331.793
2.324627,1613.114,1686.615,1760.115,176.015,253.904,331.793
2.332090,1613.114,1686.615,1760.115,176.015,253.904,331.793
2.339552,1613.114,1686.615,1760.115,176.015,253.904,331.793
2.347015,1560.457,1660.286,1760.115,176.015,271.456,366.897
2.354478,1560.457,1660.286,1760.115,176.015,271.456,366.897
2.361940,1560.457,1660.286,1760.115,176.015,271.456,366.897
2.369403,1560.457,1660.286,1760.115,176.015,271.456,366.897
2.376866,1560.457,1603.241,1646.025,263.777,315.337,366.897
2.384328,1560.457,1603.241,1646.025,263.777,315.337,366.897
2.391791,1560.457,1603.241,1646.025,263.777,315.337,366.897
2.399254,1560.457,1603.241,1646.025,263.777,315.337,366.897
2.406716,1542.905,1625.182,1707.458,228.672,306.561,384.450
2.414179,1542.905,1625.182,1707.458,228.672,306.561,384.450
2.421642,1542.905,1625.182,1707.458,228.672,306.561,384.450
2.429104,1542.905,1625.182,1707.458,228.672,306.561,384.450
2.436567,1560.457,1646.429,1742.563,228.672,297.785,366.897
2.444030,1560.457,1646.429,1742.563,228.672,297.785,366.897
2.451493,1560.457,1646.429,1742.563,228.672,297.785,366.897
2.458955,1560.457,1646.429,1742.563,228.672,297.785,366.897
2.466418,1586.786,1639.077,1698.682,219.896,284.621,349.345
2.473881,1586.786,1639.077,1698.682,219.896,284.621,349.345
2.481343,1586.786,1639.077,1698.682,219.896,284.621,349.345
2.488806,1586.786,1639.077,1698.682,219.896,284.621,349.345
2.496269,1560.457,1638.346,1716.234,219.896,293.397,366.897
2.503731,1560.457,1638.346,1716.234,219.896,293.397,366.897
2.511194,1560.457,1638.346,1716.234,219.896,293.397,366.897
2.518657,1560.457,1638.346,1716.234,219.896,293.397,366.897
2.526119,1578.010,1651.510,1725.011,211.120,280.232,349.345
2.533582,1578.010,1651.510,1725.011,211.120,280.232,349.345
2.541045,1578.010,1651.510,1725.011,211.120,280.232,349.345
2.548507,1578.010,1651.510,1725.011,211.120,280.232,349.345
2.555970,1560.457,1606.752,1681.130,246.225,310.274,366.897
2.563433,1560.457,1606.752,1681.130,246.225,310.274,366.897
2.570896,1560.457,1606.752,1681.130,246.225,310.274,366.897
2.578358,1560.457,1606.752,1681.130,246.225,310.274,366.897
2.585821,1595.562,1655.898,1716.234,202.344,267.068,331.793
2.593284,1595.562,1655.898,1716.234,202.344,267.068,331.793
2.600746,1595.562,1655.898,1716.234,202.344,267.068,331.793
2.608209,1595.562,1655.898,1716.234,202.344,267.068,331.793
2.615672,1692.100,1761.212,1830.325,105.806,192.471,279.135
2.623134,1692.100,1761.212,1830.325,105.806,192.471,279.135
2.630597,1692.100,1761.212,1830.325,105.806,192.471,279.135
2.638060,1692.100,1761.212,1830.325,105.806,192.471,279.135
2.645522,1665.771,1734.884,1803.996,123.358,196.859,270.359
2.652985,1665.771,1734.884,1803.996,123.358,196.859,270.359
2.660448,1665.771,1734.884,1803.996,123.358,196.859,270.359
2.667910,1665.771,1734.884,1803.996,123.358,196.859,270.359
2.675373,1665.771,1771.451,1839.101,105.806,180.855,270.359
2.682836,1665.771,1771.451,1839.101,105.806,180.855,270.359
2.690299,1665.771,1771.451,1839.101,105.806,180.855,270.359
2.697761,1665.771,1771.451,1839.101,105.806,180.855,270.359
2.705224,1762.309,1791.929,1821.549,114.582,148.590,182.598
2.712687,1762.309,1791.929,1821.549,114.582,148.590,182.598
2.720149,1762.309,1791.929,1821.549,114.582,148.590,182.598
2.727612,1762.309,1791.929,1821.549,114.582,148.590,182.598
2.735075,1639.443,1713.460,1795.220,114.582,201.247,287.912
2.742537,1639.443,1713.460,1795.220,114.582,201.247,287.912
2.750000,1639.443,1713.460,1795.220,114.582,201.247,287.912
2.757463,1639.443,1713.460,1795.220,114.582,201.247,287.912
