condition,time,Obs_pSTAT3,Obs_pSTAT1
il10_10,61,0.057777,0.0004181
il10_10,62,0.056827,0.00040052
il10_10,63,0.055912,0.00038422
il10_10,64,0.055032,0.00036912
il10_10,65,0.054185,0.00035512
il10_10,66,0.053369,0.00034215
il10_10,67,0.052584,0.00033013
il10_10,68,0.051829,0.00031898
il10_10,69,0.051102,0.00030864
il10_10,70,0.050403,0.00029905
il10_10,71,0.049729,0.00029014
il10_10,72,0.049081,0.00028187
il10_10,73,0.048456,0.00027418
il10_10,74,0.047855,0.00026702
il10_10,75,0.047275,0.00026035
il10_10,76,0.046717,0.00025414
il10_10,77,0.046178,0.00024834
il10_10,78,0.045659,0.00024293
il10_10,79,0.045158,0.00023786
il10_10,80,0.044674,0.00023312
il10_10,81,0.044207,0.00022868
il10_10,82,0.043755,0.00022451
il10_10,83,0.043319,0.00022058
il10_10,84,0.042897,0.00021689
il10_10,85,0.042489,0.00021341
il10_10,86,0.042094,0.00021013
il10_10,87,0.041712,0.00020702
il10_10,88,0.041341,0.00020408
il10_10,89,0.040982,0.00020129
il10_10,90,0.040634,0.00019864
il6_1_il10_1,0,0.0,0.0
il6_1_il10_1,1,0.001255,1.13e-05
il6_1_il10_1,2,0.0047047,4.34e-05
il6_1_il10_1,3,0.0098434,9.35e-05
il6_1_il10_1,4,0.016168,0.00015867
il6_1_il10_1,5,0.023216,0.00023616
il6_1_il10_1,6,0.03059,0.00032333
il6_1_il10_1,7,0.037964,0.00041768
il6_1_il10_1,8,0.045088,0.00051688
il6_1_il10_1,9,0.05178,0.00061877
il6_1_il10_1,10,0.057918,0.00072133
il6_1_il10_1,11,0.063432,0.00082267
il6_1_il10_1,12,0.068292,0.00092105
il6_1_il10_1,13,0.072499,0.0010149
il6_1_il10_1,14,0.076076,0.0011026
il6_1_il10_1,15,0.079059,0.001183
il6_1_il10_1,16,0.081491,0.0012547
il6_1_il10_1,17,0.083421,0.0013168
il6_1_il10_1,18,0.084895,0.0013685
il6_1_il10_1,19,0.085954,0.0014089
il6_1_il10_1,20,0.086637,0.0014378
il6_1_il10_1,21,0.086978,0.0014548
il6_1_il10_1,22,0.087005,0.0014598
il6_1_il10_1,23,0.086743,0.0014533
il6_1_il10_1,24,0.086211,0.0014356
il6_1_il10_1,25,0.08543,0.0014074
il6_1_il10_1,26,0.084417,0.0013698
il6_1_il10_1,27,0.083193,0.0013241
il6_1_il10_1,28,0.081779,0.0012716
il6_1_il10_1,29,0.080202,0.001214
il6_1_il10_1,30,0.078492,0.001153
il6_1_il10_1,31,0.076679,0.00109
il6_1_il10_1,32,0.074796,0.0010266
il6_1_il10_1,33,0.072871,0.00096388
il6_1_il10_1,34,0.07093,0.00090264
il6_1_il10_1,35,0.068996,0.00084358
il6_1_il10_1,36,0.067088,0.00078716
il6_1_il10_1,37,0.065221,0.0007337
il6_1_il10_1,38,0.063407,0.0006834
il6_1_il10_1,39,0.061654,0.00063635
il6_1_il10_1,40,0.059969,0.00059258
il6_1_il10_1,41,0.058357,0.00055205
il6_1_il10_1,42,0.056821,0.00051468
il6_1_il10_1,43,0.055362,0.00048035
il6_1_il10_1,44,0.053982,0.00044893
il6_1_il10_1,45,0.052681,0.00042027
il6_1_il10_1,46,0.051458,0.00039421
il6_1_il10_1,47,0.050311,0.00037059
il6_1_il10_1,48,0.04924,0.00034925
il6_1_il10_1,49,0.048241,0.00033002
il6_1_il10_1,50,0.047314,0.00031275
il6_1_il10_1,51,0.046456,0.0002973
il6_1_il10_1,52,0.045665,0.00028351
il6_1_il10_1,53,0.044937,0.00027125
il6_1_il10_1,54,0.044271,0.0002604
il6_1_il10_1,55,0.043662,0.00025083
il6_1_il10_1,56,0.04311,0.00024243
il6_1_il10_1,57,0.042609,0.00023509
il6_1_il10_1,58,0.042159,0.00022871
il6_1_il10_1,59,0.041754,0.00022319
il6_1_il10_1,60,0.041392,0.00021845
il6_1_il10_1,61,0.041071,0.00021441
il6_1_il10_1,62,0.040786,0.00021098
il6_1_il10_1,63,0.040534,0.0002081
il6_1_il10_1,64,0.040313,0.0002057
il6_1_il10_1,65,0.04012,0.00020372
il6_1_il10_1,66,0.03995,0.00020211
il6_1_il10_1,67,0.039803,0.0002008
il6_1_il10_1,68,0.039674,0.00019976
il6_1_il10_1,69,0.039561,0.00019893
il6_1_il10_1,70,0.039462,0.00019829
