# Fig. 3D (model panel), PSN1 cells, type_I_half_RAFi,
# from Imoto H, Rauch N, Nagasato AI, Okada M, Kolch W, Rukhlenko OS,
# Kholodenko BN (2026), npj Syst Biol Appl, doi:10.1038/s41540-026-00710-6.
# 
# Source: embedded bitmap of page 9 (pdfimages, 980x648 px, ~146 ppi),
# composited over white through its soft mask.
# Calibration: least squares on the tick marks;
#   max residual x 0.0000 Kd, y 0.0027 normalized ppERK.
# Series separation: ink-direction classification against these legend
#   key colours, read from the panel itself:
#     KSR =   0 nM   RGB (204, 104, 108)
#     KSR =  15 nM   RGB (255, 201, 104)
#     KSR =  30 nM   RGB (255, 231, 105)
#     KSR =  50 nM   RGB (153, 213, 238)
#     KSR = 100 nM   RGB (170, 188, 218)
# 
# Ordinate is ppERK normalized to the no-drug steady state at the same
# KSR1 abundance (every curve starts at 1.0). Blank cells are columns
# where the series could not be separated from an overlapping one.
# Uncertainty ~0.02 in normalized ppERK; see digitize_imoto2026.py.
dose_over_Kd,ppERK_norm_KSR_0nM,ppERK_norm_KSR_15nM,ppERK_norm_KSR_30nM,ppERK_norm_KSR_50nM,ppERK_norm_KSR_100nM
42.5714,0.4650,0.3828,0.3383,0.3152,0.2928
42.8571,0.4640,0.3823,0.3379,0.3147,0.2923
43.1429,0.4630,0.3817,0.3373,0.3088,0.2917
43.4286,0.4620,0.3812,0.3368,0.3088,0.2911
43.7143,0.4609,0.3808,0.3362,0.3088,0.2906
44.0000,0.4600,0.3803,0.3356,0.3088,0.2900
44.2857,0.4590,0.3799,0.3349,0.3088,0.2896
44.5714,0.4560,0.3796,0.3343,0.3088,0.2892
44.8571,0.4560,0.3768,0.3287,0.3042,0.2861
45.1429,0.4533,0.3737,0.3284,0.3044,0.2861
45.4286,0.4523,0.3732,0.3280,0.3044,0.2835
45.7143,0.4513,0.3726,0.3276,0.3042,0.2830
46.0000,0.4503,0.3720,0.3271,0.3040,0.2824
46.2857,0.4494,0.3714,0.3266,0.3037,0.2819
46.5714,0.4483,0.3706,0.3259,0.3031,0.2811
46.8571,0.4475,0.3700,0.3253,0.2975,0.2805
47.1429,0.4447,0.3694,0.3247,0.2975,0.2800
47.4286,0.4447,0.3689,0.3240,0.2975,0.2794
47.7143,0.4416,0.3684,0.3234,0.2975,0.2789
48.0000,0.4406,0.3627,0.3227,0.2975,0.2785
48.2857,0.4396,0.3624,0.3175,0.2975,0.2781
48.5714,0.4387,0.3621,0.3172,0.2975,0.2778
48.8571,0.4378,0.3617,0.3168,0.2928,0.2748
49.1429,0.4369,0.3612,0.3163,0.2928,0.2748
49.4286,0.4361,0.3608,0.3157,0.2926,0.2719
49.7143,0.4334,0.3603,0.3151,0.2923,0.2713
50.0000,0.4334,0.3599,0.3147,,0.2708
