Stot_molecules,R_active_MAPK_molecules
1.763015942785052175e+03,1.331360946745562160e+03
1.797114329731933822e+03,1.331360946745562160e+03
1.831872211561512131e+03,1.331360946745562160e+03
1.867302343525259175e+03,1.331360946745562160e+03
1.903417727573210414e+03,1.331360946745562160e+03
1.940231617125347611e+03,1.331360946745562160e+03
1.977757521935262275e+03,1.331360946745562160e+03
2.016009213047891535e+03,1.331360946745562160e+03
2.055000727853136141e+03,1.331360946745562160e+03
2.094746375237223674e+03,1.331360946745562160e+03
2.135260740833703949e+03,1.479289940828402223e+03
2.176558692376000181e+03,1.627218934911242513e+03
2.218655385153490442e+03,1.627218934911242513e+03
2.261566267573100049e+03,1.627218934911242513e+03
2.305307086828484444e+03,1.627218934911242513e+03
2.349893894678837569e+03,1.627218934911242513e+03
2.395343053339476683e+03,1.627218934911242513e+03
2.441671241486356394e+03,1.627218934911242513e+03
2.488895460376716073e+03,1.627218934911242513e+03
2.537033040088103462e+03,1.775147928994082804e+03
2.586101645878070940e+03,1.923076923076923094e+03
2.636119284666870954e+03,1.923076923076923094e+03
2.687104311645533471e+03,1.923076923076923094e+03
2.739075437011751546e+03,1.923076923076923094e+03
2.792051732836044721e+03,1.923076923076923094e+03
2.846052640060717749e+03,1.923076923076923094e+03
2.901097975634189879e+03,1.923076923076923094e+03
2.957207939783306301e+03,1.923076923076923094e+03
3.014403123426302955e+03,2.071005917159763612e+03
3.072704515729146351e+03,2.218934911242603448e+03
3.132133511808019193e+03,2.218934911242603448e+03
3.192711920580778951e+03,2.218934911242603448e+03
3.254461972770271586e+03,2.218934911242603448e+03
3.317406329062438544e+03,2.218934911242603448e+03
3.381568088422204710e+03,2.218934911242603448e+03
3.446970796570207767e+03,2.514792899408284029e+03
3.513638454623474445e+03,2.514792899408284029e+03
3.581595527903215043e+03,2.514792899408284029e+03
3.650866954912967685e+03,2.514792899408284029e+03
3.721478156490391029e+03,2.514792899408284029e+03
3.793455045136058743e+03,2.514792899408284029e+03
3.866824034522685452e+03,2.662721893491124320e+03
3.941612049188263882e+03,2.810650887573964610e+03
4.017846534416681607e+03,2.810650887573964610e+03
4.095555466309438543e+03,2.810650887573964610e+03
4.174767362052154567e+03,2.810650887573964610e+03
4.255511290379648926e+03,2.810650887573964610e+03
4.337816882243420878e+03,3.106508875739644736e+03
4.421714341685446016e+03,3.106508875739644736e+03
4.507234456922286881e+03,3.106508875739644736e+03
4.594408611643582844e+03,3.106508875739644736e+03
4.683268796529050633e+03,3.254437869822485027e+03
4.773847620988254675e+03,3.254437869822485027e+03
4.866178325127413700e+03,3.402366863905325317e+03
4.960294791947676458e+03,3.402366863905325317e+03
5.056231559779307645e+03,3.402366863905325317e+03
5.154023834956373321e+03,3.550295857988165608e+03
5.253707504736562441e+03,3.698224852071005898e+03
5.355319150470888417e+03,3.698224852071005898e+03
5.458896061028109216e+03,3.698224852071005898e+03
5.564476246478785470e+03,3.846153846153846189e+03
5.672098452044001533e+03,3.994082840236686479e+03
5.781802172313867231e+03,3.994082840236686479e+03
5.893627665741022611e+03,3.994082840236686479e+03
6.007615969414454412e+03,4.142011834319527225e+03
6.123808914119058500e+03,4.289940828402366606e+03
6.242249139686465242e+03,4.289940828402366606e+03
6.362980110642760337e+03,4.289940828402366606e+03
6.486046132158859109e+03,4.437869822485206896e+03
6.611492366309365025e+03,4.585798816568047187e+03
6.739364848645877828e+03,4.585798816568047187e+03
6.869710505090890365e+03,4.585798816568047187e+03
7.002577169158377728e+03,4.881656804733727768e+03
7.138013599507478830e+03,4.881656804733727768e+03
7.276069497835667789e+03,4.881656804733727768e+03
7.416795527118008977e+03,5.177514792899408349e+03
7.560243330199166849e+03,5.177514792899408349e+03
7.706465548745004526e+03,5.177514792899408349e+03
7.855515842560729652e+03,5.325443786982248639e+03
8.007448909282664317e+03,5.473372781065088930e+03
8.162320504450874068e+03,5.473372781065088930e+03
8.320187461970024742e+03,5.769230769230769511e+03
8.481107714965964988e+03,5.769230769230769511e+03
8.645140317045701522e+03,5.769230769230769511e+03
8.812345463968556942e+03,6.065088757396449182e+03
8.982784515736469984e+03,6.065088757396449182e+03
9.156520019111543661e+03,6.213017751479289473e+03
9.333615730569099469e+03,6.360946745562130673e+03
9.514136639694679616e+03,6.360946745562130673e+03
