# Digitized from Fig. 2H of Smith GR, Shanley DP (2013), BMC Systems Biology 7:41,
# doi:10.1186/1752-0509-7-41. The published PDF page was rendered at 400 dpi with
# pdftoppm; the axis frame and tick marks were located by pixel run detection and
# used for a linear (or log) calibration; each plotted curve was then traced column
# by column, selecting at each column the colour-matched pixel run closest to the
# previous column's centre so that data markers, error bars and legend keys do not
# capture the trace.
# Insulin dose 1 uM; the horizontal axis is calibrated on the decade ticks.
external_ROS_M,fraction_DNA_bound_FOXO
1.43242e-07,0.169106
1.47106e-07,0.169106
1.51074e-07,0.169106
1.5515e-07,0.169919
1.59335e-07,0.169919
1.63634e-07,0.170732
1.68048e-07,0.170732
1.72581e-07,0.170732
1.77237e-07,0.170732
1.82019e-07,0.170732
1.86929e-07,0.170732
1.91972e-07,0.170732
1.9715e-07,0.170732
2.02469e-07,0.170732
2.07931e-07,0.170732
2.1354e-07,0.171545
2.19301e-07,0.172358
2.25217e-07,0.172358
2.31293e-07,0.172358
2.37532e-07,0.172358
2.4394e-07,0.172358
2.50521e-07,0.172358
2.57279e-07,0.172358
2.6422e-07,0.172358
2.71348e-07,0.172358
2.78668e-07,0.172358
2.86185e-07,0.173984
2.93906e-07,0.173984
3.01834e-07,0.173984
3.09977e-07,0.173984
3.18339e-07,0.173984
3.26927e-07,0.173984
3.35747e-07,0.173984
3.44804e-07,0.17561
3.54106e-07,0.17561
3.63658e-07,0.17561
3.73469e-07,0.176423
3.83544e-07,0.177236
3.93891e-07,0.177236
4.04517e-07,0.177236
4.15429e-07,0.178049
4.26636e-07,0.178862
4.38146e-07,0.178862
4.49965e-07,0.178862
4.62104e-07,0.179675
4.7457e-07,0.180488
4.87373e-07,0.180488
5.00521e-07,0.180488
5.14023e-07,0.182114
5.2789e-07,0.182114
5.42131e-07,0.182114
5.56756e-07,0.182927
5.71775e-07,0.18374
5.872e-07,0.18374
6.03041e-07,0.18374
6.19309e-07,0.184553
6.36016e-07,0.185366
6.53174e-07,0.185366
6.70795e-07,0.185366
6.88891e-07,0.186992
7.07475e-07,0.186992
7.2656e-07,0.186992
7.46161e-07,0.187805
7.6629e-07,0.188618
7.86962e-07,0.188618
8.08192e-07,0.188618
8.29994e-07,0.189431
8.52385e-07,0.190244
8.7538e-07,0.190244
8.98995e-07,0.190244
9.23247e-07,0.19187
9.48153e-07,0.19187
