# Digitized from Fig. 6A of Barua & Hlavacek (2013) PLoS Comput Biol 9(9):e1003217.
# Panel: SW480 cell, transfected APC1338 (APC-B; label 'APC 1338 / APC 21 / APC 22').
# Curve traced from the 300-dpi PDF render (embedded JPEG, 1461x1089 px, top-left panel)
# by darkest-pixel tracing with continuity tracking; axes calibrated to the plot frame
# (x: 1e-2..1e2 log; y: 0..8 linear).
# col1 = relative level of transfected APC1338 (added/endogenous, endogenous=100 nM)
# col2 = relative beta-catenin level (normalized to the nominal normal-cell level, 35 nM)
51.966,7.48132
52.7725,7.48132
53.5916,7.48132
54.4234,7.47253
55.2681,7.46374
56.126,7.46374
56.9971,7.46374
57.8818,7.46374
58.7802,7.46374
59.6925,7.46374
60.619,7.46374
61.5599,7.46374
62.5153,7.46374
63.4857,7.46374
64.471,7.45495
65.4717,7.44615
66.4879,7.44615
67.5198,7.44615
68.5678,7.44615
69.6321,7.44615
70.7128,7.44615
71.8104,7.44615
72.925,7.44615
74.0568,7.44615
75.2063,7.43736
76.3736,7.42857
77.559,7.42857
78.7628,7.42857
79.9853,7.42857
81.2267,7.42857
82.4875,7.42857
83.7678,7.42857
85.0679,7.42857
86.3883,7.42857
87.7291,7.41099
89.0908,7.41099
90.4736,7.41099
91.8778,7.41099
93.3039,7.41099
94.7521,7.41099
