tCycB_AU,pEnsaB55_ss_AU
0.4807,0.0457
0.4807,0.0508
0.4807,0.198
0.4807,0.2487
0.4807,0.2538
0.4807,0.2589
0.4834,0.0406
0.4834,0.0457
0.4834,0.0508
0.4834,0.1929
0.4834,0.198
0.4834,0.203
0.4834,0.2487
0.4834,0.2538
0.4834,0.2589
0.4862,0.0457
0.4862,0.0508
0.4862,0.1929
0.4862,0.198
0.4862,0.203
0.4862,0.2487
0.4862,0.2538
0.4862,0.2589
0.489,0.0457
0.489,0.0508
0.489,0.2487
0.489,0.2538
0.489,0.2589
0.4917,0.0457
0.4917,0.0508
0.4917,0.2487
0.4917,0.2538
0.4917,0.2589
0.4945,0.0457
0.4945,0.0508
0.4945,0.2487
0.4945,0.2538
0.4945,0.2589
0.4972,0.0457
0.4972,0.0508
0.4972,0.0558
0.4972,0.2487
0.4972,0.2538
0.4972,0.2589
0.5,0.0457
0.5,0.0508
0.5,0.0558
0.5,0.1878
0.5,0.1929
0.5,0.198
0.5,0.2487
0.5,0.2538
0.5,0.2589
0.5028,0.0457
0.5028,0.0508
0.5028,0.0558
0.5028,0.1878
0.5028,0.1929
0.5028,0.198
0.5028,0.2487
0.5028,0.2538
0.5028,0.2589
0.5055,0.0457
0.5055,0.0508
0.5055,0.0558
0.5055,0.2487
0.5055,0.2538
0.5055,0.2589
0.5083,0.0457
0.5083,0.0508
0.5083,0.0558
0.5083,0.2487
0.5083,0.2538
0.5083,0.2589
0.511,0.0457
0.511,0.0508
0.511,0.0558
0.511,0.2487
0.511,0.2538
0.511,0.2589
0.5138,0.0457
0.5138,0.0508
0.5138,0.0558
0.5138,0.2487
0.5138,0.2538
0.5138,0.2589
0.5166,0.0457
0.5166,0.0508
0.5166,0.0558
0.5166,0.1878
0.5166,0.1929
0.5166,0.198
0.5166,0.2487
0.5166,0.2538
0.5166,0.2589
0.5193,0.0457
0.5193,0.0508
0.5193,0.0558
0.5193,0.1878
0.5193,0.1929
0.5193,0.198
0.5193,0.2487
0.5193,0.2538
0.5193,0.2589
0.5221,0.0457
0.5221,0.0508
0.5221,0.0558
0.5221,0.2487
0.5221,0.2538
0.5221,0.2589
0.5249,0.0508
0.5249,0.0558
0.5249,0.2487
0.5249,0.2538
0.5249,0.2589
0.5276,0.0508
0.5276,0.0558
0.5276,0.2487
0.5276,0.2538
0.5276,0.2589
0.5304,0.0508
0.5304,0.0558
0.5304,0.2487
0.5304,0.2538
0.5304,0.2589
0.5331,0.0508
0.5331,0.0558
0.5331,0.0609
0.5331,0.1827
0.5331,0.1878
0.5331,0.1929
0.5331,0.2487
0.5331,0.2538
0.5331,0.2589
0.5359,0.0508
0.5359,0.0558
0.5359,0.0609
0.5359,0.1827
0.5359,0.1878
0.5359,0.1929
0.5359,0.2487
0.5359,0.2538
0.5359,0.2589
0.5387,0.0508
0.5387,0.0558
0.5387,0.0609
0.5387,0.1878
0.5387,0.2487
0.5387,0.2538
0.5387,0.2589
0.5414,0.0508
0.5414,0.0558
0.5414,0.0609
0.5414,0.2487
0.5414,0.2538
0.5414,0.2589
0.5442,0.0508
0.5442,0.0558
0.5442,0.0609
0.5442,0.2487
0.5442,0.2538
0.5442,0.2589
0.547,0.0508
0.547,0.0558
0.547,0.0609
0.547,0.2487
0.547,0.2538
0.547,0.2589
0.5497,0.0508
0.5497,0.0558
0.5497,0.0609
0.5497,0.1827
0.5497,0.1878
0.5497,0.2487
0.5497,0.2538
0.5497,0.2589
0.5525,0.0508
0.5525,0.0558
0.5525,0.0609
0.5525,0.1777
0.5525,0.1827
0.5525,0.1878
0.5525,0.2487
0.5525,0.2538
0.5525,0.2589
0.5552,0.0558
0.5552,0.0609
0.5552,0.1827
0.5552,0.1878
0.5552,0.2487
0.5552,0.2538
0.5552,0.2589
0.558,0.0558
0.558,0.0609
0.558,0.2487
0.558,0.2538
0.558,0.2589
0.5608,0.0558
0.5608,0.0609
0.5608,0.2487
0.5608,0.2538
0.5608,0.2589
0.5635,0.0558
0.5635,0.0609
0.5635,0.066
0.5635,0.2487
0.5635,0.2538
0.5635,0.2589
0.5663,0.0558
0.5663,0.0609
0.5663,0.066
0.5663,0.1777
0.5663,0.1827
0.5663,0.2487
0.5663,0.2538
0.5663,0.2589
0.5691,0.0558
0.5691,0.0609
0.5691,0.066
0.5691,0.1777
0.5691,0.1827
0.5691,0.2487
0.5691,0.2538
0.5691,0.2589
0.5718,0.0558
0.5718,0.0609
0.5718,0.066
0.5718,0.1777
0.5718,0.1827
0.5718,0.2487
0.5718,0.2538
0.5718,0.2589
0.5746,0.0558
0.5746,0.0609
0.5746,0.066
0.5746,0.2487
0.5746,0.2538
0.5746,0.2589
0.5773,0.0558
0.5773,0.0609
0.5773,0.066
0.5773,0.2487
0.5773,0.2538
0.5773,0.2589
0.5801,0.0558
0.5801,0.0609
0.5801,0.066
0.5801,0.2487
0.5801,0.2538
0.5801,0.2589
0.5829,0.0558
0.5829,0.0609
0.5829,0.066
0.5829,0.2487
0.5829,0.2538
0.5829,0.2589
0.5856,0.0609
0.5856,0.066
0.5856,0.1726
0.5856,0.1777
0.5856,0.1827
0.5856,0.2487
0.5856,0.2538
0.5856,0.2589
0.5884,0.0609
0.5884,0.066
0.5884,0.1726
0.5884,0.1777
0.5884,0.1827
0.5884,0.2487
0.5884,0.2538
0.5884,0.2589
0.5912,0.0609
0.5912,0.066
0.5912,0.2487
0.5912,0.2538
0.5912,0.2589
0.5939,0.0609
0.5939,0.066
0.5939,0.0711
0.5939,0.2487
0.5939,0.2538
0.5939,0.2589
0.5967,0.0609
0.5967,0.066
0.5967,0.0711
0.5967,0.2487
0.5967,0.2538
0.5967,0.2589
0.5994,0.0051
0.5994,0.0609
0.5994,0.066
0.5994,0.0711
0.5994,0.2487
0.5994,0.2538
0.5994,0.2589
0.6022,0.0609
0.6022,0.066
0.6022,0.0711
0.6022,0.1675
0.6022,0.1726
0.6022,0.1777
0.6022,0.2487
0.6022,0.2538
0.6022,0.2589
0.605,0.0609
0.605,0.066
0.605,0.0711
0.605,0.1675
0.605,0.1726
0.605,0.1777
0.605,0.2487
0.605,0.2538
0.605,0.2589
0.6077,0.0609
0.6077,0.066
0.6077,0.0711
0.6077,0.2487
0.6077,0.2538
0.6077,0.2589
0.6105,0.066
0.6105,0.0711
0.6105,0.2487
0.6105,0.2538
0.6105,0.2589
0.6133,0.066
0.6133,0.0711
0.6133,0.2487
0.6133,0.2538
0.6133,0.2589
