kSyCb_permin,CycB_Cdk1_ss_AU
0.07602,0.0617
0.07624,0.0596
0.07624,0.0617
0.07646,0.0596
0.07646,0.0617
0.07669,0.0596
0.07669,0.0617
0.07691,0.0596
0.07691,0.0617
0.07713,0.0596
0.07713,0.0617
0.07735,0.0596
0.07735,0.0617
0.07757,0.0596
0.07757,0.0617
0.07779,0.0596
0.07779,0.0617
0.07801,0.0596
0.07801,0.0617
0.07801,0.0638
0.07823,0.0596
0.07823,0.0617
0.07823,0.0638
0.07845,0.0596
0.07845,0.0617
0.07845,0.0638
0.07867,0.0596
0.07867,0.0617
0.07867,0.0638
0.0789,0.0596
0.0789,0.0617
0.0789,0.0638
0.07912,0.0596
0.07912,0.0617
0.07912,0.0638
0.07934,0.0596
0.07934,0.0617
0.07934,0.0638
0.07956,0.0596
0.07956,0.0617
0.07956,0.0638
0.07978,0.0596
0.07978,0.0617
0.07978,0.0638
0.08,0.0617
