kSyCb_permin,CycB_Cdk1_orbit_AU
0.05436,0.1489
0.05436,0.1511
0.05436,0.1851
0.05459,0.0404
0.05459,0.0426
0.05459,0.0447
0.05459,0.0468
0.05459,0.0489
0.05459,0.1447
0.05459,0.1468
0.05459,0.1489
0.05459,0.1511
0.05459,0.1532
0.05481,0.0404
0.05481,0.0426
0.05481,0.0447
0.05481,0.0468
0.05481,0.0489
0.05481,0.0511
0.05481,0.1447
0.05481,0.1468
0.05481,0.1489
0.05481,0.1511
0.05481,0.1532
0.05481,0.1553
0.05503,0.0404
0.05503,0.0426
0.05503,0.0447
0.05503,0.0468
0.05503,0.0489
0.05503,0.0511
0.05503,0.1447
0.05503,0.1468
0.05503,0.1489
0.05503,0.1511
0.05503,0.1532
0.05525,0.0426
0.05525,0.0447
0.05525,0.0468
0.05525,0.0489
0.05525,0.1468
0.05525,0.1489
0.05525,0.1511
0.05525,0.1532
0.05547,0.0447
0.05547,0.0468
0.05547,0.1489
0.05547,0.1511
0.05812,0.2383
0.05812,0.2447
0.05812,0.2468
0.05812,0.2489
0.05812,0.2511
