tCycB_AU,CycB_Cdk1_ss_AU
0.5939,0.5939
0.5967,0.0761
0.5967,0.0812
0.5967,0.1168
0.5967,0.1218
0.5967,0.1269
0.5967,0.5838
0.5967,0.5888
0.5967,0.5939
0.5994,0.0812
0.5994,0.1168
0.5994,0.1218
0.5994,0.1269
0.5994,0.5838
0.5994,0.5888
0.5994,0.5939
0.5994,0.599
0.6022,0.0812
0.6022,0.5888
0.6022,0.5939
0.6022,0.599
0.605,0.0812
0.605,0.5888
0.605,0.5939
0.605,0.599
0.605,0.6041
0.6077,0.0812
0.6077,0.5939
0.6077,0.599
0.6077,0.6041
0.6105,0.0812
0.6105,0.5939
0.6105,0.599
0.6105,0.6041
0.6105,0.6091
0.6133,0.0812
0.6133,0.0863
0.6133,0.1218
0.6133,0.1269
0.6133,0.599
0.6133,0.6041
0.6133,0.6091
0.616,0.0812
0.616,0.0863
0.616,0.1168
0.616,0.1218
0.616,0.1269
0.616,0.6041
0.616,0.6091
0.616,0.6142
0.6188,0.0812
0.6188,0.0863
0.6188,0.1218
0.6188,0.1269
0.6188,0.6041
0.6188,0.6091
0.6188,0.6142
0.6215,0.0812
0.6215,0.0863
0.6215,0.6091
0.6215,0.6142
0.6215,0.6193
0.6243,0.0812
0.6243,0.0863
0.6243,0.6091
0.6243,0.6142
0.6243,0.6193
0.6271,0.0863
0.6271,0.6142
0.6271,0.6193
0.6271,0.6244
0.6298,0.0863
0.6298,0.1218
0.6298,0.1269
0.6298,0.6142
0.6298,0.6193
0.6298,0.6244
0.6298,0.6294
0.6326,0.0863
0.6326,0.1218
0.6326,0.1269
0.6326,0.6193
0.6326,0.6244
0.6326,0.6294
0.6354,0.0863
0.6354,0.0914
0.6354,0.1218
0.6354,0.1269
0.6354,0.6193
0.6354,0.6244
0.6354,0.6294
0.6354,0.6345
0.6381,0.0863
0.6381,0.0914
0.6381,0.6244
0.6381,0.6294
0.6381,0.6345
0.6409,0.0863
0.6409,0.0914
0.6409,0.6244
0.6409,0.6294
0.6409,0.6345
0.6409,0.6396
0.6436,0.0863
0.6436,0.0914
0.6436,0.6294
0.6436,0.6345
0.6436,0.6396
0.6464,0.0914
0.6464,0.1218
0.6464,0.1269
0.6464,0.6294
0.6464,0.6345
0.6464,0.6396
0.6464,0.6447
0.6492,0.0914
0.6492,0.1218
0.6492,0.1269
0.6492,0.6345
0.6492,0.6396
0.6492,0.6447
0.6519,0.0914
0.6519,0.1218
0.6519,0.1269
0.6519,0.6345
0.6519,0.6396
0.6519,0.6447
0.6519,0.6497
0.6547,0.0914
0.6547,0.6396
0.6547,0.6447
0.6547,0.6497
0.6575,0.0914
0.6575,0.6447
0.6575,0.6497
0.6575,0.6548
0.6602,0.0914
0.6602,0.0964
0.6602,0.6447
0.6602,0.6497
0.6602,0.6548
0.663,0.0964
0.663,0.6497
0.663,0.6548
0.663,0.6599
0.6657,0.0964
0.6657,0.1218
0.6657,0.1269
0.6657,0.6497
0.6657,0.6548
0.6657,0.6599
0.6685,0.0964
0.6685,0.1218
0.6685,0.1269
0.6685,0.6548
0.6685,0.6599
0.6685,0.665
0.6713,0.0964
0.6713,0.6548
0.6713,0.6599
0.6713,0.665
0.6713,0.6701
0.674,0.0964
0.674,0.6599
0.674,0.665
0.674,0.6701
0.6768,0.0964
0.6768,0.6599
0.6768,0.665
0.6768,0.6701
0.6768,0.6751
0.6796,0.1015
0.6796,0.665
0.6796,0.6701
0.6796,0.6751
0.6823,0.1015
0.6823,0.1218
0.6823,0.1269
0.6823,0.665
0.6823,0.6701
0.6823,0.6751
0.6823,0.6802
0.6851,0.1015
0.6851,0.1168
0.6851,0.1218
0.6851,0.1269
0.6851,0.6701
0.6851,0.6751
0.6851,0.6802
0.6878,0.1015
0.6878,0.1218
0.6878,0.1269
0.6878,0.6751
0.6878,0.6802
0.6878,0.6853
0.6906,0.1015
0.6906,0.6751
0.6906,0.6802
0.6906,0.6853
0.6934,0.6802
0.6934,0.6853
0.6934,0.6904
0.6961,0.6802
0.6961,0.6853
0.6961,0.6904
0.6989,0.1066
0.6989,0.1168
0.6989,0.1218
0.6989,0.1269
0.6989,0.6853
0.6989,0.6904
0.6989,0.6954
0.7017,0.1066
0.7017,0.1168
0.7017,0.1218
0.7017,0.1269
0.7017,0.6853
0.7017,0.6904
0.7017,0.6954
0.7017,0.7005
0.7044,0.1218
0.7044,0.6904
0.7044,0.6954
0.7044,0.7005
0.7072,0.6904
0.7072,0.6954
0.7072,0.7005
0.7099,0.6954
0.7099,0.7005
0.7099,0.7056
0.7127,0.6954
0.7127,0.7005
0.7127,0.7056
0.7127,0.7107
0.7155,0.7005
0.7155,0.7056
0.7155,0.7107
0.7182,0.7005
0.7182,0.7056
0.7182,0.7107
0.7182,0.7157
0.721,0.7056
0.721,0.7107
0.721,0.7157
0.7238,0.7107
0.7238,0.7157
0.7238,0.7208
0.7265,0.7107
0.7265,0.7157
0.7265,0.7208
0.7293,0.7157
0.7293,0.7208
0.7293,0.7259
0.732,0.7157
0.732,0.7208
0.732,0.7259
0.7348,0.7208
0.7348,0.7259
0.7348,0.731
0.7376,0.7208
0.7376,0.7259
0.7376,0.731
0.7403,0.7259
0.7403,0.731
0.7403,0.736
0.7431,0.7259
0.7431,0.731
0.7431,0.736
0.7459,0.731
0.7459,0.736
0.7459,0.7411
0.7486,0.731
0.7486,0.736
0.7486,0.7411
0.7486,0.7462
0.7514,0.736
0.7514,0.7411
0.7514,0.7462
0.7541,0.736
0.7541,0.7411
0.7541,0.7462
0.7541,0.7513
0.7569,0.7411
0.7569,0.7462
0.7569,0.7513
0.7597,0.7411
0.7597,0.7462
0.7597,0.7513
0.7597,0.7563
0.7624,0.7462
0.7624,0.7513
0.7624,0.7563
0.7652,0.7513
0.7652,0.7563
0.7652,0.7614
0.768,0.7513
0.768,0.7563
0.768,0.7614
0.7707,0.7513
0.7707,0.7563
0.7707,0.7614
0.7707,0.7665
0.7735,0.7563
0.7735,0.7614
0.7735,0.7665
0.7735,0.7716
0.7762,0.7614
0.7762,0.7665
0.7762,0.7716
0.779,0.7614
0.779,0.7665
0.779,0.7716
0.7818,0.7665
0.7818,0.7716
0.7818,0.7766
0.7845,0.7665
0.7845,0.7716
0.7845,0.7766
0.7845,0.7817
0.7873,0.7716
0.7873,0.7766
0.7873,0.7817
0.7901,0.7716
0.7901,0.7766
0.7901,0.7817
0.7901,0.7868
0.7928,0.7766
0.7928,0.7817
0.7928,0.7868
0.7956,0.7817
0.7956,0.7868
0.7956,0.7919
0.7983,0.7817
0.7983,0.7868
0.7983,0.7919
0.8011,0.7868
0.8011,0.7919
0.8011,0.797
0.8039,0.7868
0.8039,0.7919
0.8039,0.797
0.8066,0.7919
0.8066,0.797
0.8066,0.802
0.8094,0.7919
0.8094,0.797
0.8094,0.802
0.8122,0.797
0.8122,0.802
0.8122,0.8071
0.8149,0.797
0.8149,0.802
0.8149,0.8071
0.8149,0.8122
0.8177,0.802
0.8177,0.8071
0.8177,0.8122
0.8204,0.802
0.8204,0.8071
0.8204,0.8122
0.8204,0.8173
0.8232,0.8071
0.8232,0.8122
0.8232,0.8173
0.826,0.8071
0.826,0.8122
0.826,0.8173
0.826,0.8223
0.8287,0.8122
0.8287,0.8173
0.8287,0.8223
0.8315,0.8173
0.8315,0.8223
0.8315,0.8274
0.8343,0.8173
0.8343,0.8223
0.8343,0.8274
0.837,0.8173
0.837,0.8223
0.837,0.8274
0.837,0.8325
0.8398,0.8223
0.8398,0.8274
0.8398,0.8325
0.8425,0.8274
0.8425,0.8325
0.8425,0.8376
0.8453,0.8274
0.8453,0.8325
0.8453,0.8376
0.8481,0.8325
0.8481,0.8376
0.8481,0.8426
0.8508,0.8325
0.8508,0.8376
0.8508,0.8426
0.8536,0.8376
0.8536,0.8426
0.8536,0.8477
0.8564,0.8376
0.8564,0.8426
0.8564,0.8477
0.8564,0.8528
0.8591,0.8426
0.8591,0.8477
0.8591,0.8528
0.8619,0.8426
0.8619,0.8477
0.8619,0.8528
0.8619,0.8579
0.8646,0.8477
0.8646,0.8528
0.8646,0.8579
0.8674,0.8477
0.8674,0.8528
0.8674,0.8579
0.8674,0.8629
0.8702,0.8528
0.8702,0.8579
0.8702,0.8629
0.8729,0.8579
0.8729,0.8629
0.8729,0.868
0.8757,0.8579
0.8757,0.8629
0.8757,0.868
0.8785,0.8629
0.8785,0.868
0.8785,0.8731
0.8812,0.8629
0.8812,0.868
0.8812,0.8731
0.8812,0.8782
0.884,0.868
0.884,0.8731
0.884,0.8782
0.8867,0.868
0.8867,0.8731
0.8867,0.8782
0.8895,0.8731
0.8895,0.8782
0.8895,0.8832
0.8923,0.8731
0.8923,0.8782
0.8923,0.8832
0.8923,0.8883
0.895,0.8782
0.895,0.8832
0.895,0.8883
0.8978,0.8782
0.8978,0.8832
0.8978,0.8883
0.8978,0.8934
0.9006,0.8832
0.9006,0.8883
0.9006,0.8934
0.9033,0.8832
0.9033,0.8883
0.9033,0.8934
0.9033,0.8985
0.9061,0.8883
0.9061,0.8934
0.9061,0.8985
0.9088,0.8934
0.9088,0.8985
0.9088,0.9036
0.9116,0.8934
0.9116,0.8985
0.9116,0.9036
0.9144,0.8985
0.9144,0.9036
0.9144,0.9086
0.9171,0.8985
0.9171,0.9036
0.9171,0.9086
0.9199,0.9036
