CycD_AU,CycE_ss_AU
-0.0523,0.9036
-0.0468,0.0914
-0.0468,0.0964
-0.0468,0.1015
-0.0468,0.3046
-0.0468,0.3096
-0.0468,0.8934
-0.0468,0.8985
-0.0468,0.9036
-0.0413,0.0914
-0.0413,0.0964
-0.0413,0.1015
-0.0413,0.8934
-0.0413,0.8985
-0.0413,0.9036
-0.0358,0.0914
-0.0358,0.0964
-0.0358,0.1015
-0.0358,0.8934
-0.0358,0.8985
-0.0358,0.9036
-0.0303,0.0914
-0.0303,0.0964
-0.0303,0.1015
-0.0303,0.2893
-0.0303,0.2944
-0.0303,0.8934
-0.0303,0.8985
-0.0303,0.9036
-0.0248,0.0914
-0.0248,0.0964
-0.0248,0.1015
-0.0248,0.2843
-0.0248,0.2893
-0.0248,0.2944
-0.0248,0.8934
-0.0248,0.8985
-0.0248,0.9036
-0.0193,0.0914
-0.0193,0.0964
-0.0193,0.1015
-0.0193,0.2843
-0.0193,0.2893
-0.0193,0.2944
-0.0193,0.8934
-0.0193,0.8985
-0.0193,0.9036
-0.0138,0.0914
-0.0138,0.0964
-0.0138,0.1015
-0.0138,0.8934
-0.0138,0.8985
-0.0138,0.9036
-0.0083,0.0914
-0.0083,0.0964
-0.0083,0.1015
-0.0083,0.1066
-0.0083,0.8934
-0.0083,0.8985
-0.0083,0.9036
-0.0028,0.0914
-0.0028,0.0964
-0.0028,0.1015
-0.0028,0.1066
-0.0028,0.269
-0.0028,0.2741
-0.0028,0.2792
-0.0028,0.8883
-0.0028,0.8934
-0.0028,0.8985
-0.0028,0.9036
-0.0028,0.9086
0.0028,0.0914
0.0028,0.0964
0.0028,0.1015
0.0028,0.1066
0.0028,0.269
0.0028,0.2741
0.0028,0.2792
0.0028,0.2843
0.0028,0.8883
0.0028,0.8934
0.0028,0.8985
0.0028,0.9036
0.0028,0.9086
0.0083,0.0914
0.0083,0.0964
0.0083,0.1015
0.0083,0.1066
0.0083,0.264
0.0083,0.269
0.0083,0.2741
0.0083,0.2792
0.0083,0.2843
0.0083,0.8883
0.0083,0.8934
0.0083,0.8985
0.0083,0.9036
0.0083,0.9086
0.0138,0.0914
0.0138,0.0964
0.0138,0.1015
0.0138,0.1066
0.0138,0.269
0.0138,0.2741
0.0138,0.2792
0.0138,0.8934
0.0138,0.8985
0.0138,0.9036
0.0138,0.9086
0.0193,0.0914
0.0193,0.0964
0.0193,0.1015
0.0193,0.1066
0.0193,0.8934
0.0193,0.8985
0.0193,0.9036
0.0193,0.9086
0.0248,0.0914
0.0248,0.0964
0.0248,0.1015
0.0248,0.1066
0.0248,0.2589
0.0248,0.264
0.0248,0.8934
0.0248,0.8985
0.0248,0.9036
0.0248,0.9086
0.0303,0.0914
0.0303,0.0964
0.0303,0.1015
0.0303,0.1066
0.0303,0.2538
0.0303,0.2589
0.0303,0.264
0.0303,0.269
0.0303,0.8934
0.0303,0.8985
0.0303,0.9036
0.0303,0.9086
0.0358,0.0914
0.0358,0.0964
0.0358,0.1015
0.0358,0.1066
0.0358,0.2538
0.0358,0.2589
0.0358,0.264
0.0358,0.269
0.0358,0.8934
0.0358,0.8985
0.0358,0.9036
0.0358,0.9086
0.0413,0.0914
0.0413,0.0964
0.0413,0.1015
0.0413,0.1066
0.0413,0.2538
0.0413,0.2589
0.0413,0.264
0.0413,0.269
0.0413,0.8934
0.0413,0.8985
0.0413,0.9036
0.0413,0.9086
0.0468,0.0914
0.0468,0.0964
0.0468,0.1015
0.0468,0.1066
0.0468,0.2589
0.0468,0.264
0.0468,0.8934
0.0468,0.8985
0.0468,0.9036
0.0468,0.9086
0.0523,0.0914
0.0523,0.0964
0.0523,0.1015
0.0523,0.1066
0.0523,0.8934
0.0523,0.8985
0.0523,0.9036
0.0523,0.9086
0.0579,0.0914
0.0579,0.0964
0.0579,0.1015
0.0579,0.1066
0.0579,0.2437
0.0579,0.2487
0.0579,0.2538
0.0579,0.8934
0.0579,0.8985
0.0579,0.9036
0.0579,0.9086
0.0634,0.0914
0.0634,0.0964
0.0634,0.1015
0.0634,0.1066
0.0634,0.2386
0.0634,0.2437
0.0634,0.2487
0.0634,0.2538
0.0634,0.8934
0.0634,0.8985
0.0634,0.9036
0.0634,0.9086
0.0689,0.0914
0.0689,0.0964
0.0689,0.1015
0.0689,0.1066
0.0689,0.2386
0.0689,0.2437
0.0689,0.2487
0.0689,0.2538
0.0689,0.8934
0.0689,0.8985
0.0689,0.9036
0.0689,0.9086
0.0744,0.0914
0.0744,0.0964
0.0744,0.1015
0.0744,0.1066
0.0744,0.2386
0.0744,0.2437
0.0744,0.2487
0.0744,0.2538
0.0744,0.8934
0.0744,0.8985
0.0744,0.9036
0.0744,0.9086
0.0799,0.0914
0.0799,0.0964
0.0799,0.1015
0.0799,0.1066
0.0799,0.8934
0.0799,0.8985
0.0799,0.9036
0.0799,0.9086
0.0854,0.0914
0.0854,0.0964
0.0854,0.1015
0.0854,0.1066
0.0854,0.1117
0.0854,0.2284
0.0854,0.2335
0.0854,0.8934
0.0854,0.8985
0.0854,0.9036
0.0854,0.9086
0.0909,0.0914
0.0909,0.0964
0.0909,0.1015
0.0909,0.1066
0.0909,0.1117
0.0909,0.2234
0.0909,0.2284
0.0909,0.2335
0.0909,0.2386
0.0909,0.8934
0.0909,0.8985
0.0909,0.9036
0.0909,0.9086
0.0964,0.0914
0.0964,0.0964
0.0964,0.1015
0.0964,0.1066
0.0964,0.1117
0.0964,0.2234
0.0964,0.2284
0.0964,0.2335
0.0964,0.2386
0.0964,0.8934
0.0964,0.8985
0.0964,0.9036
0.0964,0.9086
0.1019,0.0914
0.1019,0.0964
0.1019,0.1015
0.1019,0.1066
0.1019,0.1117
0.1019,0.2234
0.1019,0.2284
0.1019,0.2335
0.1019,0.2386
0.1019,0.8934
0.1019,0.8985
0.1019,0.9036
0.1019,0.9086
0.1074,0.0914
0.1074,0.0964
0.1074,0.1015
0.1074,0.1066
0.1074,0.1117
0.1074,0.2284
0.1074,0.2335
0.1074,0.2386
0.1074,0.8934
0.1074,0.8985
0.1074,0.9036
0.1074,0.9086
0.1129,0.0914
0.1129,0.0964
0.1129,0.1015
0.1129,0.1066
0.1129,0.1117
0.1129,0.8934
0.1129,0.8985
0.1129,0.9036
0.1129,0.9086
0.1185,0.0914
0.1185,0.0964
0.1185,0.1015
0.1185,0.1066
0.1185,0.1117
0.1185,0.2132
0.1185,0.2183
0.1185,0.2234
0.1185,0.8934
0.1185,0.8985
0.1185,0.9036
0.1185,0.9086
0.124,0.0914
0.124,0.0964
0.124,0.1015
0.124,0.1066
0.124,0.1117
0.124,0.2132
0.124,0.2183
0.124,0.2234
0.124,0.2284
0.124,0.8934
0.124,0.8985
0.124,0.9036
0.124,0.9086
0.1295,0.0914
0.1295,0.0964
0.1295,0.1015
0.1295,0.1066
0.1295,0.1117
0.1295,0.2081
0.1295,0.2132
0.1295,0.2183
0.1295,0.2234
0.1295,0.2284
0.1295,0.8934
0.1295,0.8985
0.1295,0.9036
0.1295,0.9086
0.135,0.0964
0.135,0.1015
0.135,0.1066
0.135,0.1117
0.135,0.2132
0.135,0.2183
0.135,0.2234
0.135,0.2284
0.135,0.8934
0.135,0.8985
0.135,0.9036
0.135,0.9086
0.1405,0.0964
0.1405,0.1015
0.1405,0.1066
0.1405,0.1117
0.1405,0.2183
0.1405,0.2234
0.1405,0.8934
0.1405,0.8985
0.1405,0.9036
0.1405,0.9086
0.146,0.0964
0.146,0.1015
0.146,0.1066
0.146,0.1117
0.146,0.8934
0.146,0.8985
0.146,0.9036
0.146,0.9086
0.1515,0.0964
0.1515,0.1015
0.1515,0.1066
0.1515,0.1117
0.1515,0.203
0.1515,0.2081
0.1515,0.2132
0.1515,0.8934
0.1515,0.8985
0.1515,0.9036
0.1515,0.9086
0.157,0.0964
0.157,0.1015
0.157,0.1066
0.157,0.1117
0.157,0.198
0.157,0.203
0.157,0.2081
0.157,0.2132
0.157,0.8934
0.157,0.8985
0.157,0.9036
0.157,0.9086
0.1625,0.0964
0.1625,0.1015
0.1625,0.1066
0.1625,0.1117
0.1625,0.198
0.1625,0.203
0.1625,0.2081
0.1625,0.2132
0.1625,0.8934
0.1625,0.8985
0.1625,0.9036
0.1625,0.9086
0.168,0.0964
0.168,0.1015
0.168,0.1066
0.168,0.1117
0.168,0.203
0.168,0.2081
0.168,0.2132
0.168,0.8934
0.168,0.8985
0.168,0.9036
0.168,0.9086
0.1736,0.0964
0.1736,0.1015
0.1736,0.1066
0.1736,0.1117
0.1736,0.8934
0.1736,0.8985
0.1736,0.9036
0.1736,0.9086
0.1791,0.0964
0.1791,0.1015
0.1791,0.1066
0.1791,0.1117
0.1791,0.1929
0.1791,0.8934
0.1791,0.8985
0.1791,0.9036
0.1791,0.9086
0.1846,0.0964
0.1846,0.1015
0.1846,0.1066
0.1846,0.1117
0.1846,0.1878
0.1846,0.1929
0.1846,0.198
0.1846,0.203
0.1846,0.8934
0.1846,0.8985
0.1846,0.9036
0.1846,0.9086
0.1901,0.0964
0.1901,0.1015
0.1901,0.1066
0.1901,0.1117
0.1901,0.1827
0.1901,0.1878
0.1901,0.1929
0.1901,0.198
0.1901,0.203
0.1901,0.8934
0.1901,0.8985
0.1901,0.9036
0.1901,0.9086
0.1956,0.0964
0.1956,0.1015
0.1956,0.1066
0.1956,0.1117
0.1956,0.1168
0.1956,0.1878
0.1956,0.1929
0.1956,0.198
0.1956,0.203
0.1956,0.8934
0.1956,0.8985
0.1956,0.9036
0.1956,0.9086
0.2011,0.0964
0.2011,0.1015
0.2011,0.1066
0.2011,0.1117
0.2011,0.1168
