# Fig. 2d - simulated time courses, amino acids + wortmannin
# Dalle Pezze P et al. (2016) Nature Communications 7:13254. doi:10.1038/ncomms13254
# Digitized by digitize_dallepezze2016.py from a 600 dpi render of page 5.
# Both axes calibrated on their tick marks; the per-panel residuals printed by the script bound the accuracy of these values.
# value_au is the centre of the red ink in that pixel column; ink_lo_au and ink_hi_au are its extent, which is wide wherever the curve is steep and the centre is therefore not a value the figure claims.
# Values are the paper's arbitrary relative units and are not comparable between readouts.
readout,time_min,value_au,ink_lo_au,ink_hi_au
S6K_pT389,116.669,3.92176,3.74205,4.10146
S6K_pT389,116.926,3.92176,3.74205,4.10146
S6K_pT389,117.183,3.94422,3.78698,4.10146
S6K_pT389,117.44,3.94422,3.78698,4.10146
S6K_pT389,117.697,3.94422,3.78698,4.10146
S6K_pT389,117.954,3.92176,3.74205,4.10146
S6K_pT389,118.211,3.92176,3.74205,4.10146
S6K_pT389,118.469,3.92176,3.74205,4.10146
S6K_pT389,118.726,3.94422,3.78698,4.10146
S6K_pT389,118.983,3.94422,3.78698,4.10146
S6K_pT389,119.24,3.94422,3.78698,4.10146
S6K_pT389,119.497,3.94422,3.78698,4.10146
S6K_pT389,119.754,3.94422,3.78698,4.10146
S6K_pT389,120,3.94422,3.78698,4.10146
S6K_pT389,120,3.94422,3.78698,4.10146
S6K_pT229,4.042,0.121178,-0.0114787,0.253835
S6K_pT229,4.29914,0.143288,-0.0114787,0.298054
S6K_pT229,4.55628,0.143288,-0.0114787,0.298054
S6K_pT229,4.81342,0.121178,-0.0556976,0.298054
S6K_pT229,5.07056,0.121178,-0.0556976,0.298054
S6K_pT229,5.32769,0.143288,-0.0114787,0.298054
S6K_pT229,5.58483,0.143288,-0.0114787,0.298054
